iter	Logloss
0	0.6635205269
1	0.6360900879
2	0.5992046833
3	0.5634728909
4	0.5372300148
5	0.5149738312
6	0.4923557758
7	0.4744630814
8	0.4526615143
9	0.4370184898
10	0.4141712189
11	0.4017193317
12	0.3900153637
13	0.3758241177
14	0.3582686424
15	0.3514407396
16	0.3327274323
17	0.3176195145
18	0.3079050541
19	0.2976920128
20	0.2899096251
21	0.2814063549
22	0.2752705812
23	0.266961813
24	0.2590063572
25	0.2543706894
26	0.2491499424
27	0.2433554173
28	0.2360112667
29	0.2303638697
30	0.2243882418
31	0.2196507692
32	0.2156447887
33	0.2112194538
34	0.2067833424
35	0.2000146389
36	0.1950168848
37	0.1915637136
38	0.1859992385
39	0.1826000214
40	0.1792176843
41	0.1767017007
42	0.1730909944
43	0.1690961361
44	0.1667487264
45	0.1628656387
46	0.160649693
47	0.1588247776
48	0.1553834915
49	0.1527258873
50	0.1506363273
51	0.1479795218
52	0.1445970535
53	0.1420331597
54	0.1396911979
55	0.1358863831
56	0.1332062006
57	0.1309823871
58	0.1289934158
59	0.1267105222
60	0.125074625
61	0.1234112501
62	0.1216788888
63	0.1197507381
64	0.1178925514
65	0.116481328
66	0.1145826459
67	0.1135138035
68	0.1121633172
69	0.1108463764
70	0.1095559955
71	0.1082969308
72	0.1070665359
73	0.1058353662
74	0.1046578884
75	0.1035044432
76	0.1023743153
77	0.1012669086
78	0.1001788855
79	0.09911185503
80	0.098065418
81	0.09703903198
82	0.09598478675
83	0.09499869347
84	0.09403179884
85	0.09308069348
86	0.09214855433
87	0.09123395085
88	0.09033570886
89	0.08945311308
90	0.08858625293
91	0.08773518801
92	0.08690084815
93	0.08608109951
94	0.08527339697
95	0.08448127508
96	0.08370393515
97	0.08293842077
98	0.08218554258
99	0.08144663572
