iter	Passed	Remaining
0	144	14336
1	146	7158
2	147	4763
3	147	3546
4	148	2817
5	149	2341
6	150	2002
7	151	1743
8	152	1539
9	153	1381
10	154	1246
11	155	1138
12	156	1045
13	157	965
14	157	892
15	158	831
16	158	774
17	159	724
18	159	681
19	160	641
20	161	607
21	161	573
22	162	544
23	163	516
24	164	492
25	165	469
26	165	448
27	166	428
28	167	409
29	167	391
30	168	375
31	169	360
32	170	346
33	171	332
34	172	319
35	172	307
36	173	294
37	173	283
38	174	272
39	174	262
40	175	253
41	176	243
42	177	235
43	177	226
44	178	218
45	179	210
46	180	203
47	181	196
48	182	189
49	183	183
50	183	176
51	184	170
52	185	164
53	186	158
54	187	153
55	187	147
56	188	142
57	189	137
58	190	132
59	191	127
60	191	122
61	192	118
62	193	113
63	194	109
64	195	105
65	196	101
66	197	97
67	198	93
68	198	89
69	200	85
70	200	82
71	201	78
72	202	75
73	203	71
74	204	68
75	205	64
76	206	61
77	207	58
78	208	55
79	208	52
80	209	49
81	210	46
82	211	43
83	212	40
84	213	37
85	214	34
86	215	32
87	216	29
88	217	26
89	218	24
90	219	21
91	220	19
92	221	16
93	222	14
94	223	11
95	224	9
96	224	6
97	225	4
98	226	2
99	227	0
